character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
㐅,sheaf,,,,,wǔ,,,㐅,,,RSH RTH RTK,RSH1::L38 primitive
㐫,Fagin,,,,,,top hat + cruel,⿱ (top-bottom),⿱亠凶,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">cruel</span>",,RSH,RSH1::L38 primitive
㐬,baby Moses,,,,,,infant + flood,⿱ (top-bottom),⿱亠𠫝,"<span style=""color:#1a5276"">囧充－儿</span> <span style=""color:#666"">infant</span><br><span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span>",,RSH RTH RTK,RSH1::L22 primitive
㐱,cocktail,,,,,,umbrella + rooster tail,⿱ (top-bottom),⿱𠆢彡,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">彡</span> <span style=""color:#666"">rooster tail</span>",,RSH RTH RTK,RSH1::L44 primitive
㓁,paper punch,,,,,,hole,⿱ (top-bottom),⿱冖儿,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span>",,RSH RTH RTK,RSH1::L34 primitive
㔾,fingerprint,,,,,jié,,,㔾,,,RSH RTH RTK,RSH1::L36 primitive
㸚,stitching,,,,,,sheaf + sheaf + sheaf + Sheaf,⿱ (top-bottom),⿱⿰㐅㐅⿰㐅乂,"<span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">乂</span> <span style=""color:#666"">Sheaf</span>",,RSH RTH RTK,RSH2::L55 primitive
䍃,can opener,,,,,yáo,claw + tin can,⿱ (top-bottom),⿱爫缶,"<span style=""color:#1a5276"">爪</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">缶</span> <span style=""color:#666"">tin can</span>",,RSH RTK,RSH1::L52 primitive
一,one,floor · ceiling,,1,,yī,,,一,,,RSH RTH RTK,RSH1::L01 primitive
丁,fourth,nail · spike · thumbtack,,90,,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L05 primitive
丂,snare,,,,,kǎo,floor + ㇉,⿱ (top-bottom),⿱一㇉,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L32 primitive
七,seven,diced,,7,,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RSH1::L01 primitive
万,ten thousand,,,65,,Mò / wàn,bound up + one,⿸ (top-left-wrap),⿸丆𠃌,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",TH: 萬 | JP: 萬,RSH RTK,RSH1::L04
丈,100 Chinese inches,,,837,,zhàng,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,RSH RTH RTK,RSH1::L26
三,three,,,3,,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RSH1::L01
上,above,,,45,,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L03
下,below,,,46,,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,RSH RTH RTK,RSH1::L03
不,no,no symbol,,993,,bù,ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RSH1::L31 primitive
与,offer,,,1034,,yú / yǔ / yù,pointed tail + slingshot,⿹ (top-right-wrap),⿹{22}一,"<span style=""color:#1a5276"">囧与－丨一</span> <span style=""color:#666"">pointed tail</span><br><span style=""color:#1a5276"">囧与－一</span> <span style=""color:#666"">slingshot</span>",TH: 與,RSH RTK,RSH1::L33
丑,clown,,,1486,,chǒu,needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,RSH RTH RTK,RSH1::L55
专,specialty,corncob pipe,,1238,,zhuān,cornstalk + chop,⿱ (top-bottom),⿱⿻一𠀁丶,"<span style=""color:#1a5276"">囧奉－𡗗</span> <span style=""color:#666"">cornstalk</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",TH: 專 | JP: 専,RSH,RSH1::L39 primitive
且,moreover,shelves,,1345,,qiě,glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L46 primitive
世,generation,,,28,,shì,ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RSH1::L02
丘,hill,,,1079,,qiū,tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,"<span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",,RSH RTH RTK,RSH1::L34
丙,third,,,842,,bǐng,ceiling + internal,⿱ (top-bottom),⿱一内,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal</span>",,RSH RTH RTK,RSH1::L26
业,profession,,,1351,,yè,side by side,⿱ (top-bottom),⿱⿻⿰丨丨丷一,"<span style=""color:#1a5276"">並</span> <span style=""color:#666"">side by side</span>",TH: 業 | JP: 業,RSH,RSH1::L46
丛,thicket,,,2104,,cóng,assembly line + floor,⿱ (top-bottom),⿱从一,"<span style=""color:#1a5276"">从</span> <span style=""color:#666"">follow</span> <span style=""color:#999"">(alias: assembly line)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",TH: 叢 | JP: 叢,RSH,RSH2::L26
东,east,rickshaw · covered rickshaw,,1249,,dōng,car + a drop of,⿻ (overlaid),⿻⿻一𠃋小,"<span style=""color:#1a5276"">车</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",TH: 東 | JP: 東,RSH,RSH1::L40 primitive
丝,silk,,,1081,,sī,thread,⿱ (top-bottom),⿱⿰{27}{27}一,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span>",TH: 絲 | JP: 絲,RSH,RSH1::L35
丢,mislay,,,1915,,diū,thousand + wall,⿱ (top-bottom),⿱㇒去,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",TH: 丟 | JP: 丟,RSH,RSH2::L22
两,dos,yoke,,1478,,liǎng,person + belt,⿱ (top-bottom),⿱一⿻冂从,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">囧冂</span> <span style=""color:#666"">belt</span>",TH: 兩 | JP: 両,RSH,RSH1::L55 primitive
严,strict,,,1355,,yán,Asia + cliff,⿱ (top-bottom),⿱亚丿,"<span style=""color:#1a5276"">亚</span> <span style=""color:#666"">Asia</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span>",TH: 嚴 | JP: 厳,RSH,RSH1::L46
並,side by side,,,,,bìng,animal horns + profession,⿱ (top-bottom),⿱䒑业,"<span style=""color:#1a5276"">䒑</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span>",,RTH RTK RSH,RSH1::L46 primitive
丧,funeral,,,1427,,sāng / sàng,soil + animal horns + barrette,⿱ (top-bottom),⿱⿻土丷{25},"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">囧丧－十－丷</span> <span style=""color:#666"">barrette</span>",TH: 喪 | JP: 喪,RSH,RSH1::L51
丨,walking stick,,,,,shù / gǔn,one,,丨,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RSH1::L03 primitive
丩,cornucopia,,,,,jiū,𠄌 + walking stick,⿰ (left-right),⿰𠄌丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L38 primitive
个,individual,,,258,,gè,umbrella + walking stick,⿱ (top-bottom),⿱𠆢丨,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",TH: 個 | JP: 個,RSH,RSH1::L12
中,middle,,,38,,Zhōng / zhōng / zhòng,walking stick + mouth,⿻ (overlaid),⿻口丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RSH1::L03
丰,plentiful,bushes,,1225,,fēng,three + walking stick,⿻ (overlaid),⿻三丨,"<span style=""color:#1a5276"">三</span> <span style=""color:#666"">three</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",TH: 豐 | JP: 豊,RSH,RSH1::L39 primitive
串,string together,shish kebab,,1506,,chuàn,spine + walking stick,⿻ (overlaid),⿻吕丨,"<span style=""color:#1a5276"">吕</span> <span style=""color:#666"">spine</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH2::L03 primitive
临,be about to,,,1012,,lín,fencing foil + a drop of + reclining + sun,⿲ (left-mid-right),⿲丨丨⿱⿱𠂉丶𫩏,"<span style=""color:#1a5276"">囧坚－圣</span> <span style=""color:#666"">fencing foil</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",TH: 臨 | JP: 臨,RSH,RSH1::L32
丶,a drop of,eyedropper,,,,diǎn / zhǔ,,,丶,,,RSH RTH RTK,RSH1::L03 primitive
丷,horns,animal horns,,,,bā / xx,one,⿰ (left-right),⿰丶㇒,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RSH1::L04 primitive
丸,pill,bottle of pills,,42,,wán,baseball,⿻ (overlaid),⿻九丶,"<span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RSH1::L03 primitive
丹,cinnabar red,,,1554,,dān,hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover, cowl, helmet)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RSH2::L09
为,act,,,746,,wéi / wèi,a drop of + muscle,,⿽⿵力丶丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span> <span style=""color:#999"">(alias: muscle)</span>",TH: 為 | JP: 為,RSH,RSH1::L24
主,lord,candlestick,,277,,zhǔ,a drop of + king + jade,⿱ (top-bottom),⿱丶王,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span> <span style=""color:#999"">(alias: scepter)</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel, ball)</span>",,RSH RTH RTK,RSH1::L12 primitive
丽,lovely,,,187,,Lí / lì,helmet + ceiling + a drop of,⿱ (top-bottom),⿱一⿰⿵冂丶⿵冂丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: helmet)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",TH: 麗 | JP: 麗,RSH,RSH1::L09
举,lift up,,,1434,,jǔ,excitement + cornstalk,⿱ (top-bottom),⿱兴𰀁,"<span style=""color:#1a5276"">兴</span> <span style=""color:#666"">excitement</span><br><span style=""color:#1a5276"">囧奉－𡗗</span> <span style=""color:#666"">cornstalk</span>",TH: 舉 | JP: 挙,RSH,RSH1::L52
乃,only then,fist,,625,,nǎi,𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,RSH RTH RTK,RSH1::L22 primitive
久,long time,,,839,,jiǔ,bound up + person,,久,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RSH1::L26
乇,fur ball,,,,,tuō / zhé,fur,⿱ (top-bottom),⿱㇒七,"<span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span>",,RSH RTH RTK,RSH1::L51 primitive
么,(suffix),,,670,,yāo / má / ma / me,a drop of + elbow,⿱ (top-bottom),⿱㇒厶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",TH: 麼 | JP: 麼,RSH,RSH1::L22
义,righteousness,bouquet,,1182,,yì,sheaf + a drop of,⿶ (surround-open-top),⿶乂丶,"<span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",TH: 義 | JP: 義,RSH,RSH1::L38 primitive
之,of,sign of Zorro,,990,,zhī,a drop of,⿱ (top-bottom),⿱丶{100},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RSH1::L31 primitive
乌,crow,,,2873,,Wū / wū,bird + a drop of,,㇯鸟丶,"<span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",TH: 烏 | JP: 烏,RSH,RSH2::L52
乍,for the first time,saw,,937,,zhà,lying (down) + walking stick + two,⿸ (top-left-wrap),⿸⿱𠂉丨二,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH,RSH1::L30 primitive
乎,ooh!,,,1165,,hū,water lily,⿻ (overlaid),⿻𠂌丷,"<span style=""color:#1a5276"">平</span> <span style=""color:#666"">even</span> <span style=""color:#999"">(alias: water lily)</span>",,RSH RTH,RSH1::L38
乏,weary,,,991,,fá,eyedropper + sign of Zorro,⿱ (top-bottom),⿱㇒之,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">之</span> <span style=""color:#666"">of</span> <span style=""color:#999"">(alias: sign of Zorro)</span>",,RSH RTH RTK,RSH1::L31
乐,music,,,662,,lè / yuè,drag + pole,⿻ (overlaid),⿻⿱㇒𠃋小,"<span style=""color:#1a5276"">𠂆</span> <span style=""color:#666"">drag</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: pole)</span>",TH: 樂 | JP: 楽,RSH,RSH1::L22
乒,ping,,,2999,,pīng,hill + dropdrop,⿱ (top-bottom),⿱丘㇒,"<span style=""color:#1a5276"">丘</span> <span style=""color:#666"">hill</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span>",,RSH RTH,RSH2::Compounds
乓,pong,,,3000,,pāng,hill + eyedropper,⿱ (top-bottom),⿱丘丶,"<span style=""color:#1a5276"">丘</span> <span style=""color:#666"">hill</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH,RSH2::Compounds
乔,pretend,angel,,441,,qiáo,crutches + die young,⿱ (top-bottom),⿱夭⿰丿丨,"<span style=""color:#1a5276"">囧介－𠆢</span> <span style=""color:#666"">crutches</span><br><span style=""color:#1a5276"">夭</span> <span style=""color:#666"">die young</span>",TH: 喬 | JP: 喬,RSH,RSH1::L18 primitive
乖,well-behaved,goody-goody,,1705,,guāi,thousand + north,⿻ (overlaid),⿻千北,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">北</span> <span style=""color:#666"">north</span>",,RSH RTH,RSH2::L18 primitive
乘,hitch a ride,,,1706,,chéng / shèng,goody-goody + umbrella,⿻ (overlaid),⿻禾北,"<span style=""color:#1a5276"">乖</span> <span style=""color:#666"">well-behaved</span> <span style=""color:#999"">(alias: goody-goody)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",JP: 乗,RSH RTH,RSH2::L18
乙,second,hook · fishhook,,95,,yǐ / zhé,,,乙,,,RSH RTH RTK,RSH1::L06 primitive
乛,beret,,,,,zhé,crown,,乛,"<span style=""color:#1a5276"">冖</span> <span style=""color:#666"">crown</span>",,RSH,RSH1::L27 primitive
九,nine,baseball · baseball team,,9,,jiǔ,,,九,,,RSH RTH RTK,RSH1::L01 primitive
乞,beg,,,470,,qǐ,lying (down) + hook,⿱ (top-bottom),⿱𠂉乙,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RSH1::L18
也,also,scorpion,,505,,yě,fishhook,⿻ (overlaid),⿻乜丨,"<span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RSH1::L20 primitive
习,learn,,,545,,xí,wings,⿹ (top-right-wrap),⿹𠃌冫,"<span style=""color:#1a5276"">羽</span> <span style=""color:#666"">feathers</span> <span style=""color:#999"">(alias: wings)</span>",TH: 習 | JP: 習,RSH,RSH1::L20
乡,countryside,,,1387,,xiāng,cocoon,,乡,"<span style=""color:#1a5276"">幺</span> <span style=""color:#666"">cocoon</span>",TH: 鄉 | JP: 郷,RSH,RSH1::L48
书,book,,,1393,,Shū / shū,key + clothes hanger + walking stick + a drop of,⿺ (bottom-left-wrap),⿺⿻⿱𠃍𠃌丨丶,"<span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span><br><span style=""color:#1a5276"">𠃌</span> <span style=""color:#666"">clothes hanger</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",TH: 書 | JP: 書,RSH,RSH1::L49
买,buy,,,858,,mǎi,beret + bust,⿱ (top-bottom),⿱乛头,"<span style=""color:#1a5276"">乛</span> <span style=""color:#666"">beret</span><br><span style=""color:#1a5276"">头</span> <span style=""color:#666"">head</span> <span style=""color:#999"">(alias: bust)</span>",TH: 買 | JP: 買,RSH,RSH1::L27
乱,chaos,,,100,,luàn,tongue + fishhook,⿰ (left-right),⿰舌乚,"<span style=""color:#1a5276"">舌</span> <span style=""color:#666"">tongue</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",TH: 亂,RSH RTK,RSH1::L06
乳,breast,,,2430,,rǔ,fledglings + fishhook,⿰ (left-right),⿰孚乚,"<span style=""color:#1a5276"">孚</span> <span style=""color:#666"">fledglings</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RSH2::L36
了,(-ed),,,101,,le / liǎo,child,⿱ (top-bottom),⿱乛亅,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH RTK,RSH1::L06
予,bestow,ceremonial spear,,1007,,yú / yǔ,spear,⿱ (top-bottom),⿱龴𠄐,"<span style=""color:#1a5276"">矛</span> <span style=""color:#666"">spear</span>",,RSH RTH RTK,RSH1::L32 primitive
争,contend,,,951,,zhēng,bound up + rake,⿱ (top-bottom),⿱⺈⿻{43}亅,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">肀</span> <span style=""color:#666"">rake</span>",TH: 爭,RSH RTK,RSH1::L30
事,matter,,,953,,shì,one + mouth + rake,⿻ (overlaid),⿻⿱𠮛{43}亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">肀</span> <span style=""color:#666"">rake</span>",,RSH RTH RTK,RSH1::L30
二,two,,,2,,èr,one,⿱ (top-bottom),⿱一一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RSH1::L01
于,Yu,clothing conveyor,,1283,,yú,clothesline,⿱ (top-bottom),⿱一𬺰,"<span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",TH: 於 | JP: 於,RSH RTH,RSH1::L42 primitive
亏,loss,snake hook,,2286,,kuī,snare,⿱ (top-bottom),⿱一丂,"<span style=""color:#1a5276"">丂</span> <span style=""color:#666"">snare</span>",TH: 虧 | JP: 虧,RSH,RSH2::L32 primitive
云,cloud,rising cloud,,428,,yún / Yún,two + elbow,⿱ (top-bottom),⿱二厶,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",,RSH RTH RTK,RSH1::L18 primitive
互,mutual,,,681,,hù,wall,⿱ (top-bottom),⿱一彑,"<span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",,RSH RTH RTK,RSH1::L22
五,five,,,5,,wǔ,floor + ㇯,⿱ (top-bottom),⿱一𫝀,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L01
井,well,,,1360,,jǐng / Jǐng,two + drop + walking stick,⿻ (overlaid),⿻二⿰丿丨,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L47
亚,Asia,,,1353,,yà,one + profession,⿱ (top-bottom),⿱一业,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span>",TH: 亞 | JP: 亜,RSH,RSH1::L46
些,somewhat,,,461,,xiē,this (literary) + two,⿱ (top-bottom),⿱此二,"<span style=""color:#1a5276"">此</span> <span style=""color:#666"">this (literary)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RSH1::L18
亠,top hat,,,,,,six + animal legs,⿱ (top-bottom),⿱丶一,"<span style=""color:#1a5276"">六</span> <span style=""color:#666"">six</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",,RSH RTH RTK,RSH1::L14 primitive
亡,deceased,perish,,490,,wáng,top hat + hook,⿱ (top-bottom),⿱亠𠃊,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RSH1::L19 primitive
亢,whirlwind,,,,,Kàng / kàng,top hat + wind,⿱ (top-bottom),⿱亠几,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: wind)</span>",,RSH RTH RTK,RSH1::L14 primitive
交,mingle,,,1046,,jiāo,top hat + father,⿱ (top-bottom),⿱亠父,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">父</span> <span style=""color:#666"">father</span>",,RSH RTH RTK,RSH1::L33
