character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
碍,obstruct,,,1544,,ài,stone + daybreak + glue,⿰ (left-right),⿰石㝵,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">旦</span> <span style=""color:#666"">daybreak</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",TH: 礙,RSH RTK,RSH2::L08
碎,shattered,,,2471,,suì,stone + foot soldiers,⿰ (left-right),⿰石卒,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">卒</span> <span style=""color:#666"">foot soldiers</span>",,RSH RTH,RSH2::L37
碑,stele,,,2955,,bēi,stone + lowly,⿰ (left-right),⿰石卑,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">卑</span> <span style=""color:#666"">lowly</span>",,RSH RTH RTK,RSH2::L55
碗,bowl,,,2454,,wǎn,stone + mailbox,⿰ (left-right),⿰石宛,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">宛</span> <span style=""color:#666"">winding</span> <span style=""color:#999"">(alias: mailbox)</span>",,RSH RTH RTK,RSH2::L36 RSH2::L36
碟,saucer,,,1658,,dié,stone + family tree,⿰ (left-right),⿰石枼,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">枼</span> <span style=""color:#666"">family tree</span>",,RSH RTH,RSH2::L16
碧,green jade,,,1603,,bì,jewel + dove + stone,⿱ (top-bottom),⿱珀石,"<span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel)</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: dove)</span><br><span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span>",,RSH RTH RTK,RSH2::L12
碰,bump,,,2755,,pèng,stone + side by side,⿰ (left-right),⿰石並,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">並</span> <span style=""color:#666"">side by side</span>",,RSH RTH,RSH2::L46
碳,carbon,,,1933,,tàn,stone + charcoal,⿰ (left-right),⿰石炭,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">炭</span> <span style=""color:#666"">charcoal</span>",,RSH RTH,RSH2::L23
磁,magnetism,,,2415,,cí,stone + Mona Lisa,⿰ (left-right),⿰石兹,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">兹</span> <span style=""color:#666"">Mona Lisa</span>",,RSH RTH RTK,RSH2::L35
磅,pound,,,1734,,bàng,Magellan + stone,⿰ (left-right),⿰石旁,"<span style=""color:#1a5276"">囧旁</span> <span style=""color:#666"">Magellan</span><br><span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span>",,RSH RTH,RSH2::L19
