character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
淹,inundate,2033,,,yān,water + hang glider,⿰ (left-right),⿰氵奄,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">奄</span> <span style=""color:#666"">hang glider</span>",,RSH RTH,RTH2::L26
淺,shallow,351,,,jiān / qiǎn,water + fiesta + fiesta,⿰ (left-right),⿰氵戔,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span> <span style=""color:#999"">(alias: fiesta)</span>",SH: 浅 | JP: 浅,RTH,RTH1::L16
添,augment / annexed,1773,,,tiān,water + heavens + valentine,⿰ (left-right),⿰氵忝,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">天</span> <span style=""color:#666"">heavens</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: valentine)</span>",,RSH RTH RTK,RTH2::L21
清,pure,1156,,,Qīng / qīng,water + telescope,⿰ (left-right),⿰氵青,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">青</span> <span style=""color:#666"">blue or green</span> <span style=""color:#999"">(alias: telescope)</span>",,RSH RTH RTK,RTH1::L39
減,reduce / dwindle,347,,,jiǎn,water + salty,⿰ (left-right),⿰氵咸,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">咸</span> <span style=""color:#666"">salty</span>",SH: 减,RTH RTK,RTH1::L16
渠,canal,2612,,,qú / jù,water + giant + tree,⿱ (top-bottom),⿱洰木,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">巨</span> <span style=""color:#666"">gigantic</span> <span style=""color:#999"">(alias: giant)</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",,RSH RTH,RTH2::L43
渡,ferry / transit,906,,,dù,water + degrees,⿰ (left-right),⿰氵度,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">度</span> <span style=""color:#666"">degrees</span>",,RSH RTH RTK,RTH1::L31
渣,sediment,208,,,zhā,investigate + water,⿰ (left-right),⿰氵查,"<span style=""color:#1a5276"">查</span> <span style=""color:#666"">investigate</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span>",,RSH RTH,RTH1::L10
渦,whirlpool,2273,,,wō,water + {108} + glass cover + mouth,⿰ (left-right),⿰氵咼,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",SH: 涡,RTH RTK,RTH2::L33
測,fathom,146,,,cè,water + rule,⿰ (left-right),⿰氵則,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">則</span> <span style=""color:#666"">rule</span>",SH: 测,RTH RTK,RTH1::L08
