character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
一,one,1,,,yī,,,一,,,RSH RTH RTK,RTH1::L01 primitive
丁,fourth / street,86,,,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L05 primitive
七,seven,7,,,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTH1::L01 primitive
丈,100 Chinese Inches / 100 Chinese inches / length,776,,,zhàng,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,RSH RTH RTK,RTH1::L26
三,three,3,,,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RTH1::L01
上,above,44,,,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L03
下,below,45,,,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,RSH RTH RTK,RTH1::L03
不,no / negative,924,,,bù,ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L31 primitive
丑,clown / sign of the cow,1489,,,chǒu,needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,RSH RTH RTK,RTH1::L55
且,moreover,1297,,,qiě,glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L45 primitive
世,generation,27,,,shì,ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTH1::L02
丘,hill,1003,,,qiū,tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,"<span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",,RSH RTH RTK,RTH1::L34
丙,third / third class,780,,,bǐng,ceiling + internal,⿱ (top-bottom),⿱一内,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal</span>",,RSH RTH RTK,RTH1::L26
丟,mislay,1870,,,diū,floor + go,⿱ (top-bottom),⿱一去,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span>",SH: 丢,RTH,RTH2::L22
並,side by side / row,1302,,,bìng,animal horns + profession,⿱ (top-bottom),⿱䒑业,"<span style=""color:#1a5276"">䒑</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span>",SH: 并,RTH RTK,RTH1::L46 primitive
中,middle / in,36,,,Zhōng / zhōng / zhòng,walking stick + mouth,⿻ (overlaid),⿻口丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RTH1::L03
串,string together / shish kebab,1504,,,chuàn,spine + walking stick,⿻ (overlaid),⿻吕丨,"<span style=""color:#1a5276"">吕</span> <span style=""color:#666"">spine</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTH2::L03 primitive
丸,pill / round,41,,,wán,baseball,⿻ (overlaid),⿻九丶,"<span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RTH1::L03 primitive
丹,cinnabar red,1537,,,dān,hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover, cowl, helmet)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RTH2::L09
主,lord,259,,,zhǔ,a drop of + king + jade,⿱ (top-bottom),⿱丶王,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span> <span style=""color:#999"">(alias: scepter)</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel, ball)</span>",,RSH RTH RTK,RTH1::L12 primitive
乃,only then / from,582,,,nǎi,𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,RSH RTH RTK,RTH1::L22 primitive
久,long time,778,,,jiǔ,bound up + person,,久,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTH1::L26
之,of,921,,,zhī,a drop of,⿱ (top-bottom),⿱丶{100},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L31 primitive
乍,for the first time,865,,,zhà,lying (down) + walking stick + two,⿸ (top-left-wrap),⿸⿱𠂉丨二,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH,RTH1::L30 primitive
乎,ooh!,1106,,,hū,water lily,⿻ (overlaid),⿻𠂌丷,"<span style=""color:#1a5276"">平</span> <span style=""color:#666"">even</span> <span style=""color:#999"">(alias: water lily)</span>",,RSH RTH,RTH1::L38
乏,weary / destitution,922,,,fá,eyedropper + sign of Zorro,⿱ (top-bottom),⿱㇒之,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">之</span> <span style=""color:#666"">of</span> <span style=""color:#999"">(alias: sign of Zorro)</span>",,RSH RTH RTK,RTH1::L31
乒,ping,2999,,,pīng,hill + dropdrop,⿱ (top-bottom),⿱丘㇒,"<span style=""color:#1a5276"">丘</span> <span style=""color:#666"">hill</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span>",,RSH RTH,RTH2::Compounds
乓,pong,3000,,,pāng,hill + eyedropper,⿱ (top-bottom),⿱丘丶,"<span style=""color:#1a5276"">丘</span> <span style=""color:#666"">hill</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH,RTH2::Compounds
乖,well-behaved,1677,,,guāi,thousand + north,⿻ (overlaid),⿻千北,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">北</span> <span style=""color:#666"">north</span>",,RSH RTH,RTH2::L18 primitive
乘,hitch a ride,1678,,,chéng / shèng,goody-goody + umbrella,⿻ (overlaid),⿻禾北,"<span style=""color:#1a5276"">乖</span> <span style=""color:#666"">well-behaved</span> <span style=""color:#999"">(alias: goody-goody)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",JP: 乗,RSH RTH,RTH2::L18
乙,second / fish guts,91,,,yǐ / zhé,,,乙,,,RSH RTH RTK,RTH1::L06 primitive
九,nine,9,,,jiǔ,,,九,,,RSH RTH RTK,RTH1::L01 primitive
乞,beg,434,,,qǐ,lying (down) + hook,⿱ (top-bottom),⿱𠂉乙,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTH1::L18
也,also / est,476,,,yě,fishhook,⿻ (overlaid),⿻乜丨,"<span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RTH1::L20 primitive
乳,breast / milk,2362,,,rǔ,fledglings + fishhook,⿰ (left-right),⿰孚乚,"<span style=""color:#1a5276"">孚</span> <span style=""color:#666"">fledglings</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RTH2::L36
乾,dry / drought,436,,,qián / gān,mist + beg,⿰ (left-right),⿰𠦝乞,"<span style=""color:#1a5276"">𠦝</span> <span style=""color:#666"">mist</span><br><span style=""color:#1a5276"">乞</span> <span style=""color:#666"">beg</span>",SH: 干,RTH RTK,RTH1::L18 primitive
亂,chaos,1500,,,luàn,vulture + beret + eyedropper + glass cover + elbow + right hand + hook,⿰ (left-right),⿰𤔔乚,"<span style=""color:#1a5276"">爫</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">乛</span> <span style=""color:#666"">beret</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",SH: 乱 | JP: 乱,RTH,RTH1::L55
了,(-ed) / complete,95,,,le / liǎo,child,⿱ (top-bottom),⿱乛亅,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH RTK,RTH1::L06
予,bestow / beforehand,936,,,yú / yǔ,spear,⿱ (top-bottom),⿱龴𠄐,"<span style=""color:#1a5276"">矛</span> <span style=""color:#666"">spear</span>",,RSH RTH RTK,RTH1::L32 primitive
事,matter,878,,,shì,one + mouth + rake,⿻ (overlaid),⿻⿱𠮛{43}亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">肀</span> <span style=""color:#666"">rake</span>",,RSH RTH RTK,RTH1::L30
二,two,2,,,èr,one,⿱ (top-bottom),⿱一一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RTH1::L01
于,Yu,1230,,,yú,clothesline,⿱ (top-bottom),⿱一𬺰,"<span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",JP: 於,RSH RTH,RTH1::L42 primitive
云,utter / quote / cloud,395,,,yún / Yún,two + elbow,⿱ (top-bottom),⿱二厶,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",,RSH RTH RTK,RTH1::L18 primitive
互,mutual / mutually,629,,,hù,wall,⿱ (top-bottom),⿱一彑,"<span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",,RSH RTH RTK,RTH1::L22
五,five,5,,,wǔ,floor + ㇯,⿱ (top-bottom),⿱一𫝀,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTH1::L01
井,well,1312,,,jǐng / Jǐng,two + drop + walking stick,⿻ (overlaid),⿻二⿰丿丨,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTH1::L47
些,somewhat / whit,427,,,xiē,this (literary) + two,⿱ (top-bottom),⿱此二,"<span style=""color:#1a5276"">此</span> <span style=""color:#666"">this (literary)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RTH1::L18
亞,Asia,1313,,,yà,{40} + floor,⿱ (top-bottom),⿱{40}一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",SH: 亚 | JP: 亜,RTH,RTH1::L47
亡,deceased,457,,,wáng,top hat + hook,⿱ (top-bottom),⿱亠𠃊,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTH1::L19 primitive
交,mingle,969,,,jiāo,top hat + father,⿱ (top-bottom),⿱亠父,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">父</span> <span style=""color:#666"">father</span>",,RSH RTH RTK,RTH1::L33
亥,sign of the hog,1136,,,hài,top hat + elbow + person,⿱ (top-bottom),⿱丶𠀔,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTH1::L38 primitive
亦,likewise,1496,,,yì,top hat + animal legs + saber,⿱ (top-bottom),⿱亠⿻⿰丿亅八,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span><br><span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span>",,RSH RTH,RTH1::L55 primitive
亨,go smoothly,1607,,,hēng,tall + -ed,⿳ (top-mid-bottom),⿳亠口了,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">了</span> <span style=""color:#666"">-ed</span>",,RSH RTH RTK,RTH2::L14
享,enjoy / receive,297,,,xiǎng,child + tall,⿳ (top-mid-bottom),⿳亠口子,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span>",,RSH RTH RTK,RTH1::L14
京,capital,301,,,Jīng / jīng,tall + small,⿱ (top-bottom),⿱亠𱒃,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,RSH RTH RTK,RTH1::L14 primitive
亭,pavilion,299,,,tíng,spike + tiara,⿱ (top-bottom),⿱{87}丁,"<span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: spike)</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span>",,RSH RTH RTK,RTH1::L14
亮,shiny / translucent,300,,,liàng,tiara + wind,⿱ (top-bottom),⿱{87}几,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: wind)</span>",,RSH RTH RTK,RTH1::L14
人,person,736,,,rén,,,人,,,RSH RTH RTK,RTH1::L26 primitive
什,what? / X,743,,,shí / shén,person + needle,⿰ (left-right),⿰亻十,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTH1::L26
仁,benevolence / humanity,761,,,rén,two + person,⿰ (left-right),⿰亻二,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTH1::L26
仇,animosity / foe,1991,,,chóu / qiú,person + baseball,⿰ (left-right),⿰亻九,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RTH2::L26
今,now,1186,,,jīn,meeting,⿱ (top-bottom),⿱⿵𠆢丶乛,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span>",,RSH RTH RTK,RTH1::L40 primitive
介,introduce / jammed in,241,,,jiè,umbrella + crutches,⿱ (top-bottom),⿱𠆢⿰丿丨,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">囧介－𠆢</span> <span style=""color:#666"">crutches</span>",,RSH RTH RTK,RTH1::L12
仍,still,751,,,réng,person + fist,⿰ (left-right),⿰亻乃,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">乃</span> <span style=""color:#666"">only then</span> <span style=""color:#999"">(alias: fist)</span>",,RSH RTH,RTH1::L26
仔,meticulous / animal offspring,2001,,,zǎi / zī / zǐ,person + child,⿰ (left-right),⿰亻子,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH RTK,RTH2::L26
他,he / other,752,,,tā,person + scorpion,⿰ (left-right),⿰亻也,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">也</span> <span style=""color:#666"">also</span> <span style=""color:#999"">(alias: scorpion)</span>",,RSH RTH RTK,RTH1::L26
仗,battle,2041,,,zhàng,person + 100 Chinese inches,⿰ (left-right),⿰亻丈,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丈</span> <span style=""color:#666"">100 Chinese inches</span>",,RSH RTH,RTH2::L26
付,pay / adhere,766,,,fù,person + glue,⿰ (left-right),⿰亻寸,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,RSH RTH RTK,RTH1::L26
仙,immortal / hermit,2027,,,xiān,person + mountain,⿰ (left-right),⿰亻山,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RTH2::L26
代,substitute for,769,,,dài,person + arrow,⿰ (left-right),⿰亻弋,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">弋</span> <span style=""color:#666"">arrow</span>",,RSH RTH RTK,RTH1::L26
令,orders,1050,,,Líng / líng / lǐng / lìng,meeting + chop,⿱ (top-bottom),⿱⿵𠆢丶龴,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",,RSH RTH RTK,RTH1::L36
以,by means of,796,,,Yǐ / yǐ,person + plow + a drop of,,⿽人⿰𠄌丶,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">囧以－丶人</span> <span style=""color:#666"">plow</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTH1::L27
仰,look up to / faceup,1255,,,yǎng,person + stamp collection,⿰ (left-right),⿰亻卬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">卬</span> <span style=""color:#666"">stamp collection</span>",,RSH RTH RTK,RTH1::L43
仲,mid- / go-between,1994,,,zhòng,person + middle,⿰ (left-right),⿰亻中,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">中</span> <span style=""color:#666"">middle</span>",,RSH RTH RTK,RTH2::L26
件,piece / affair,750,,,jiàn,person + cow,⿰ (left-right),⿰亻牛,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">牛</span> <span style=""color:#666"">cow</span>",,RSH RTH RTK,RTH1::L26
任,appoint / responsibility,793,,,rèn,person + porter,⿰ (left-right),⿰亻壬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">壬</span> <span style=""color:#666"">porter</span>",,RSH RTH RTK,RTH1::L27
份,portion,738,,,fèn,person + part,⿰ (left-right),⿰亻分,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">分</span> <span style=""color:#666"">part</span>",,RSH RTH,RTH1::L26
仿,mimic,2020,,,fǎng,person + compass,⿰ (left-right),⿰亻方,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">方</span> <span style=""color:#666"">direction</span> <span style=""color:#999"">(alias: compass)</span>",,RSH RTH,RTH2::L26
企,look forward to / undertake,358,,,qǐ,stop + umbrella,⿱ (top-bottom),⿱𠆢止,"<span style=""color:#1a5276"">止</span> <span style=""color:#666"">stop</span> <span style=""color:#999"">(alias: footprint, trail of footprints)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",,RSH RTH RTK,RTH1::L17
伊,Queen Elizabeth / Italy,883,,,Yī / yī,person + overseer,⿰ (left-right),⿰亻尹,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">尹</span> <span style=""color:#666"">overseer</span>",,RSH RTH RTK,RTH1::L30
伍,V,1990,,,wǔ,person + five,⿰ (left-right),⿰亻五,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">五</span> <span style=""color:#666"">five</span>",,RSH RTH RTK,RTH2::L26
伏,bend over / prostrated,2009,,,fú,person + chihuahua,⿰ (left-right),⿰亻犬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span>",,RSH RTH RTK,RTH2::L26
伐,fell,2012,,,fá,person + fiesta,⿰ (left-right),⿰亻戈,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span> <span style=""color:#999"">(alias: fiesta)</span>",,RSH RTH RTK,RTH2::L26
休,rest,753,,,xiū,person + tree,⿰ (left-right),⿰亻木,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",,RSH RTH RTK,RTH1::L26
伙,mate,2007,,,huǒ,person + fire,⿰ (left-right),⿰亻火,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span> <span style=""color:#999"">(alias: flames, fireplace, cooking fire)</span>",,RSH RTH,RTH2::L26
伯,father's older brother / chief,1993,,,bó / bà / bǎi,person + dove,⿰ (left-right),⿰亻白,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: dove)</span>",,RSH RTH RTK,RTH2::L26
估,estimate,1995,,,gū / gù,person + ancient,⿰ (left-right),⿰亻古,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span>",,RSH RTH,RTH2::L26
伴,partner / consort,908,,,bàn,person + half,⿰ (left-right),⿰亻半,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">半</span> <span style=""color:#666"">half</span>",,RSH RTH RTK,RTH1::L31
伶,actor / minstrel,2374,,,líng,person + orders,⿰ (left-right),⿰亻令,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">令</span> <span style=""color:#666"">orders</span>",,RSH RTH RTK,RTH2::L36
伸,extend / expand,851,,,shēn,person + monkey,⿰ (left-right),⿰亻申,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">申</span> <span style=""color:#666"">express</span> <span style=""color:#999"">(alias: monkey)</span>",,RSH RTH RTK,RTH1::L29
伺,attend to / pay respects,2757,,,cì / sì,person + take charge of,⿰ (left-right),⿰亻司,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">司</span> <span style=""color:#666"">take charge of</span>",,RSH RTH RTK,RTH2::L49
似,similar,797,,,sì,person + by means of,⿰ (left-right),⿰亻以,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">以</span> <span style=""color:#666"">by means of</span>",,RSH RTH RTK,RTH1::L27
但,however,747,,,dàn,person + daybreak,⿰ (left-right),⿰亻旦,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">旦</span> <span style=""color:#666"">daybreak</span>",,RSH RTH RTK,RTH1::L26
佈,announce,2014,,,bù,person + cloth,⿰ (left-right),⿰亻布,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">布</span> <span style=""color:#666"">cloth</span>",SH: 布 | JP: 布,RTH,RTH2::L26
