character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
一,one,1,1,1,yī,,,一,,,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
二,two,2,2,2,èr,one,⿱ (top-bottom),⿱一一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
三,three,3,3,3,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
四,four,4,4,4,sì,mouth + human legs,⿴ (surround),⿴囗⿰丿㇄,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
五,five,5,5,5,wǔ,floor + ㇯,⿱ (top-bottom),⿱一𫝀,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
六,six,6,6,6,liù,top hat + animal legs,⿱ (top-bottom),⿱亠八,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
七,seven,7,7,7,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
八,eight,8,8,8,bā,drop + ㇏,⿰ (left-right),⿰丿㇏,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
九,nine,9,9,9,jiǔ,,,九,,,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
十,ten,10,10,10,shí,floor + walking stick,⿻ (overlaid),⿻一丨,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
口,mouth,11,11,11,kǒu,,,口,,,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
日,day,12,12,12,rì,pent in + floor,⿴ (surround),⿴囗一,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
月,month,13,13,13,yuè,glass cover + two,⿵ (surround-open-bottom),⿵⺆二,"<span style=""color:#1a5276"">⺆</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
田,rice field,14,14,14,tián,pent in + ten,⿴ (surround),⿴囗十,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
目,eye,15,15,15,mù,pent in + floor + floor,⿴ (surround),⿴囗𠄠,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
古,ancient,16,16,16,gǔ,ten + mouth,⿱ (top-bottom),⿱十口,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02 primitive
胡,recklessly,17,17,2470,hú,moon + ancient,⿰ (left-right),⿰古月,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK3v2::CH02
吾,I (literary),18,19,17,wú,five + mouth,⿱ (top-bottom),⿱五口,"<span style=""color:#1a5276"">五</span> <span style=""color:#666"">five</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
朋,companion,19,20,19,péng,flesh,⿰ (left-right),⿰月月,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
明,bright,20,21,20,Míng / míng,sun + moon,⿰ (left-right),⿰日月,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
唱,sing,21,22,21,chàng,mouth + tongue wagging in the mouth,⿰ (left-right),⿰口昌,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: tongue wagging in the mouth)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
晶,sparkling,22,23,22,jīng,sun,⿱ (top-bottom),⿱日昍,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
品,goods,23,24,23,pǐn,sparkling + mouth,⿱ (top-bottom),⿱口吅,"<span style=""color:#1a5276"">晶</span> <span style=""color:#666"">sparkling</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
昌,prosperous,24,25,25,chāng,sun + sparkling,⿱ (top-bottom),⿱日日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">晶</span> <span style=""color:#666"">sparkling</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
早,early,25,26,26,zǎo,sun + needle,⿱ (top-bottom),⿱日十,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02 primitive
旭,rising sun,26,27,27,xù,sun + baseball,⿺ (bottom-left-wrap),⿺九日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
世,generation,27,28,28,shì,ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
胃,stomach,28,29,29,wèi,flesh / part of the body + brains,⿱ (top-bottom),⿱田⺝,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
旦,daybreak,29,30,30,dàn,sun + floor,⿱ (top-bottom),⿱日一,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
凹,concave,30,31,33,āo,,,凹,,,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
凸,convex,31,32,34,tū,,,凸,,,,,,,,,RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
自,oneself,32,33,36,zì,a drop of + eye,⿱ (top-bottom),⿱㇒目,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03 primitive
白,white,33,34,37,bái,sun + a drop of,⿱ (top-bottom),⿱㇒日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03 primitive
百,hundred,34,35,38,bǎi,white + one,⿱ (top-bottom),⿱一白,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
皂,soap,35,36,,zào,white + diced,⿱ (top-bottom),⿱白七,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span><br><span style=""color:#1a5276"">七</span> <span style=""color:#666"">seven</span> <span style=""color:#999"">(alias: diced)</span>",,,,,,,,RSH RTH,RSH1::L03 RTH1::L03
中,middle,36,38,39,Zhōng / zhōng / zhòng,walking stick + mouth,⿻ (overlaid),⿻口丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
千,thousand,37,39,40,qiān,eyedropper + ten,⿱ (top-bottom),⿱㇒十,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
舌,tongue,38,40,41,shé,mouth + thousand,⿱ (top-bottom),⿱千口,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
升,liter,39,41,42,shēng,thousand + needle,⿱ (top-bottom),⿱㇒廾,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
昇,rise up,40,,43,shēng,sun + liter,⿱ (top-bottom),⿱日升,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">升</span> <span style=""color:#666"">liter</span>",升,shēng,thousand + needle,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,RTH RTK,RTH1::L03 RTK1v5::L03
丸,pill,41,42,44,wán,baseball,⿻ (overlaid),⿻九丶,"<span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03 primitive
卜,divination,42,43,2103,bǔ / bo,walking stick + a drop of,,卜,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK3v2::CH01 primitive
占,tell fortunes,43,44,48,zhàn / zhān,divining rod + mouth,⿱ (top-bottom),⿱⺊口,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: divining rod)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
上,above,44,45,49,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
下,below,45,46,50,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
卡,card,46,47,,kǎ / qiǎ,above + below,⿱ (top-bottom),⿱上卜,"<span style=""color:#1a5276"">上</span> <span style=""color:#666"">above</span><br><span style=""color:#1a5276"">下</span> <span style=""color:#666"">below</span>",,,,,,,,RSH RTH,RSH1::L03 RTH1::L03
卓,eminent,47,48,51,zhuó,magic wand + sunflower,⿱ (top-bottom),⿱⺊早,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">早</span> <span style=""color:#666"">early</span> <span style=""color:#999"">(alias: sunflower)</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
朝,dynasty,48,49,52,Cháo / cháo / zhāo,moon + mist,⿰ (left-right),⿰𠦝月,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">𠦝</span> <span style=""color:#666"">mist</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
嘲,ridicule,49,50,2155,cháo / zhāo,mouth + dynasty,⿰ (left-right),⿰口朝,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">朝</span> <span style=""color:#666"">dynasty</span>",,,,,,,,RSH RTH RTK,RSH1::L03 RTH1::L03 RTK3v2::CH02
只,only,50,51,53,zhǐ / zhī,mouth + animal legs,⿱ (top-bottom),⿱口八,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
貝,shellfish,51,,54,bèi,eye + eight,⿱ (top-bottom),⿱目八,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">八</span> <span style=""color:#666"">eight</span>",贝,bèi,eye + animal legs,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04 primitive
貼,paste,52,,2736,tiē,shellfish + tell fortunes,⿰ (left-right),⿰貝占,"<span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span><br><span style=""color:#1a5276"">占</span> <span style=""color:#666"">tell fortunes</span>",贴,tiē,oyster + tell fortunes,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: oyster)</span><br><span style=""color:#1a5276"">占</span> <span style=""color:#666"">tell fortunes</span>",,,,RTH RTK,RTH1::L04 RTK3v2::CH02
貞,chaste,53,,55,zhēn,magic wand + shellfish,⿱ (top-bottom),⿱⺊貝,"<span style=""color:#1a5276"">⺊</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",贞,zhēn,shellfish + divining rod,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span><br><span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: divining rod)</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04
員,employee,54,,56,yuán,mouth + shellfish,⿱ (top-bottom),⿱口貝,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",员,yuán,mouth + shellfish / clam,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04
見,see,55,,57,jiàn / xiàn,eye + human legs,⿱ (top-bottom),⿱目儿,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",见,jiàn / xiàn,eye + human legs,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04
元,beginning,56,59,59,Yuán / yuán,two + human legs,⿱ (top-bottom),⿱一兀,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
頁,page,57,,60,yè,floor + drop + shellfish,⿱ (top-bottom),⿱丆貝,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",页,yè,shellfish / oyster + one + a drop of,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04 primitive
頑,stubborn,58,,61,wán,beginning + head,⿰ (left-right),⿰元頁,"<span style=""color:#1a5276"">元</span> <span style=""color:#666"">beginning</span><br><span style=""color:#1a5276"">頁</span> <span style=""color:#666"">page</span> <span style=""color:#999"">(alias: head)</span>",顽,wán,head + beginning,"<span style=""color:#1a5276"">页</span> <span style=""color:#666"">page</span> <span style=""color:#999"">(alias: head)</span><br><span style=""color:#1a5276"">元</span> <span style=""color:#666"">beginning</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04
凡,ordinary,59,62,62,fán,a drop of + wind,⿵ (surround-open-bottom),⿵几丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: wind)</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
肌,muscle,60,63,66,jī,small table + part of the body,⿰ (left-right),⿰月几,"<span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: small table)</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: part of the body)</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
負,defeated,61,,63,fù,dagger + shellfish,⿱ (top-bottom),⿱⺈貝,"<span style=""color:#1a5276"">⺈</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",负,fù,bound up + shellfish / oyster,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",,,,RTH RTK,RTH1::L04 RTK1v5::L04
勻,uniform,62,,,yún,bound up + two,⿹ (top-right-wrap),⿹勹二,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",匀,yún,bound up + two,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,,,RTH,RTH1::L04
句,sentence,63,67,65,gōu / jù,bound up + mouth,⿹ (top-right-wrap),⿹勹口,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
旬,decameron,64,68,67,xún,day + bound up,⿹ (top-right-wrap),⿹勹日,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun, tongue wagging in the mouth)</span><br><span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
勺,ladle,65,69,68,sháo,bound up + a drop of,⿹ (top-right-wrap),⿹勹丶,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
的,bull's eye,66,70,69,de / dí / dì,white bird + ladle,⿰ (left-right),⿰白勺,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird)</span><br><span style=""color:#1a5276"">勺</span> <span style=""color:#666"">ladle</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L04
首,heads,67,71,70,shǒu,horns + nose,⿱ (top-bottom),⿱丷𦣻,"<span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">自</span> <span style=""color:#666"">oneself</span> <span style=""color:#999"">(alias: nose)</span>",,,,,,,,RSH RTH RTK,RSH1::L04 RTH1::L04 RTK1v5::L05
直,straight,68,72,73,Zhí / zhí,ten + eye + floor,⿱ (top-bottom),⿱十{73},"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
置,set up,69,73,832,zhì,net + straight,⿱ (top-bottom),⿱罒直,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: net)</span><br><span style=""color:#1a5276"">直</span> <span style=""color:#666"">straight</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L25
具,tool,70,74,74,jù,eye,⿱ (top-bottom),⿱{73}八,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
真,true,71,75,75,zhēn,ten + tool,⿱ (top-bottom),⿱十具,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧具－目</span> <span style=""color:#666"">tool</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
工,work,72,76,76,gōng,floor + walking stick + floor,⿱ (top-bottom),⿱丅一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05 primitive
左,left,73,77,77,zuǒ,by one’s side + work,⿸ (top-left-wrap),⿸𠂇工,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
