character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
鯉,carp,1535,,176,lǐ,fish + computer,⿰ (left-right),⿰魚里,"<span style=""color:#1a5276"">魚</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">里</span> <span style=""color:#666"">li</span> <span style=""color:#999"">(alias: computer)</span>",鲤,lǐ,fish + computer,"<span style=""color:#1a5276"">鱼</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">里</span> <span style=""color:#666"">li</span> <span style=""color:#999"">(alias: computer)</span>",,,,RTH RTK,RTH2::L09 RTK1v5::L09
嘿,Hey!,1536,1552,,hēi,mouth + black,⿰ (left-right),⿰口黑,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">黑</span> <span style=""color:#666"">black</span>",,,,,,,,RSH RTH,RSH2::L09 RTH2::L09
丹,cinnabar red,1537,1554,2038,dān,hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover, cowl, helmet)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,,,,,,,RSH RTH RTK,RSH2::L09 RTH2::L09 RTK1v5::L56
喧,boisterous,1538,1560,2163,xuān,mouth + proclaim,⿰ (left-right),⿰口宣,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">宣</span> <span style=""color:#666"">proclaim</span> <span style=""color:#999"">(alias: sunrise, sunset)</span>",,,,,,,,RSH RTH RTK,RSH2::L09 RTH2::L09 RTK3v2::CH02
賓,visitor,1539,,511,bīn,house + floor + ㇯ + shellfish,⿱ (top-bottom),⿱⿳宀一𣥂貝,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",宾,bīn,troops + house,"<span style=""color:#1a5276"">兵</span> <span style=""color:#666"">troops</span><br><span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span>",,,,RTH RTK,RTH2::L09 RTK1v5::L20
濱,water's edge,1540,,,bīn,water + visitor,⿰ (left-right),⿰氵賓,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">賓</span> <span style=""color:#666"">visitor</span>",滨,bīn,water + visitor,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">宾</span> <span style=""color:#666"">visitor</span>",浜,water + troops,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">兵</span> <span style=""color:#666"">troops</span>",RTH,RTH2::L09
寡,widowed,1541,1559,617,guǎ,house + ceiling + nose + tool + dagger,⿱ (top-bottom),⿱宀𪟊,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">自</span> <span style=""color:#666"">oneself</span> <span style=""color:#999"">(alias: nose)</span><br><span style=""color:#1a5276"">囧具－目</span> <span style=""color:#666"">tool</span><br><span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span>",,,,,,,,RSH RTH RTK,RSH2::L09 RTH2::L09 RTK1v5::L22
棚,shed,1542,1561,202,péng,tree + companion,⿰ (left-right),⿰木朋,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">朋</span> <span style=""color:#666"">companion</span>",,,,,,,,RSH RTH RTK,RSH2::L10 RTH2::L10 RTK1v5::L10
柏,cypress,1543,1562,199,Bǎi / bǎi / bò,tree + dove,⿰ (left-right),⿰木白,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: dove)</span>",,,,,,,,RSH RTH RTK,RSH2::L10 RTH2::L10 RTK1v5::L10
槓,thick stick,1544,,,gàng,tree + tribute,⿰ (left-right),⿰木貢,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">貢</span> <span style=""color:#666"">tribute</span>",杠,gàng / gāng,tree + I-beam,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",,,,RTH,RTH2::L10
朵,flouds,1545,1564,,duǒ,wind + tree,⿱ (top-bottom),⿱𠘧木,"<span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: wind)</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",,,,,,,,RSH RTH,RSH2::L10 RTH2::L10
