character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
一,one,,,1,yī,,,一,,,RSH RTH RTK,RTK1v5::L01 primitive
丁,fourth / street,,,91,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTK1v5::L05 primitive
七,seven,,,7,qī,floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTK1v5::L01 primitive
万,ten thousand,,,64,Mò / wàn,bound up + one,⿸ (top-left-wrap),⿸丆𠃌,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",TH: 萬,RSH RTK,RTK1v5::L04
丈,100 Chinese Inches / 100 Chinese inches / length,,,691,zhàng,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,RSH RTH RTK,RTK1v5::L23
三,three,,,3,sān,one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RTK1v5::L01
上,above,,,49,shǎng / shàng,magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTK1v5::L03
下,below,,,50,xià,magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",,RSH RTH RTK,RTK1v5::L03
不,no / negative,,,1217,bù,ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK1v5::L32 primitive
与,offer / bestow,,,1246,yú / yǔ / yù,pointed tail + slingshot,⿹ (top-right-wrap),⿹{22}一,"<span style=""color:#1a5276"">囧与－丨一</span> <span style=""color:#666"">pointed tail</span><br><span style=""color:#1a5276"">囧与－一</span> <span style=""color:#666"">slingshot</span>",TH: 與,RSH RTK,RTK1v5::L33
丑,clown / sign of the cow,,,2040,chǒu,needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,RSH RTH RTK,RTK1v5::L56
且,moreover,,,2034,qiě,glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTK1v5::L56 primitive
世,generation,,,28,shì,ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTK1v5::L02
丘,hill,,,1329,qiū,tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,"<span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",,RSH RTH RTK,RTK1v5::L35
丙,third / third class,,,1020,bǐng,ceiling + internal,⿱ (top-bottom),⿱一内,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal</span>",,RSH RTH RTK,RTK1v5::L27
丞,helping hand,,,2919,,beret + water + floor,⿱ (top-bottom),⿱氶一,"<span style=""color:#1a5276"">乛</span> <span style=""color:#666"">beret</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RTK,RTK3v2::CH03
両,both,,,1168,,floor + glass cover + mountain,⿻ (overlaid),⿻𰀃山,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",TH: 兩 | SH: 两,RTK,RTK1v5::L31 primitive
並,side by side / row,,,1785,bìng,animal horns + profession,⿱ (top-bottom),⿱䒑业,"<span style=""color:#1a5276"">䒑</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span>",SH: 并,RTH RTK,RTK1v5::L47 primitive
中,middle / in,,,39,Zhōng / zhōng / zhòng,walking stick + mouth,⿻ (overlaid),⿻口丨,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RTK1v5::L03
串,string together / shish kebab,,,603,chuàn,spine + walking stick,⿻ (overlaid),⿻吕丨,"<span style=""color:#1a5276"">吕</span> <span style=""color:#666"">spine</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTK1v5::L22 primitive
丸,pill / round,,,44,wán,baseball,⿻ (overlaid),⿻九丶,"<span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RTK1v5::L03 primitive
丹,cinnabar red,,,2038,dān,hood + a drop of + one,⿻ (overlaid),⿻⿻⺆一丶,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover, cowl, helmet)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RTK1v5::L56
主,lord,,,266,zhǔ,a drop of + king + jade,⿱ (top-bottom),⿱丶王,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">王</span> <span style=""color:#666"">king</span> <span style=""color:#999"">(alias: scepter)</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel, ball)</span>",,RSH RTH RTK,RTK1v5::L12 primitive
丼,domburi,,,2884,,well + eyedropper,⿴ (surround),⿴井丶,"<span style=""color:#1a5276"">井</span> <span style=""color:#666"">well</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RTK,RTK3v2::CH03
乃,only then / from,,,686,nǎi,𠄎 + drop,⿹ (top-right-wrap),⿹𠄎丿,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,RSH RTH RTK,RTK1v5::L23 primitive
久,long time,,,1016,jiǔ,bound up + person,,久,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTK1v5::L27
之,of,,,1214,zhī,a drop of,⿱ (top-bottom),⿱丶{100},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK1v5::L32 primitive
乏,weary / destitution,,,1215,fá,eyedropper + sign of Zorro,⿱ (top-bottom),⿱㇒之,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">之</span> <span style=""color:#666"">of</span> <span style=""color:#999"">(alias: sign of Zorro)</span>",,RSH RTH RTK,RTK1v5::L32
乗,ride,,,1585,,wild rice + floor + walking stick + walking stick + floor,⿻ (overlaid),⿻禾龷,"<span style=""color:#1a5276"">禾</span> <span style=""color:#666"">standing grain</span> <span style=""color:#999"">(alias: wild rice)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",TH: 乘 | SH: 乘,RTK,RTK1v5::L40
乙,second / fish guts,,,71,yǐ / zhé,,,乙,,,RSH RTH RTK,RTK1v5::L05 primitive
九,nine,,,9,jiǔ,,,九,,,RSH RTH RTK,RTK1v5::L01 primitive
乞,beg,,,462,qǐ,lying (down) + hook,⿱ (top-bottom),⿱𠂉乙,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTK1v5::L18
也,also / est,,,2094,yě,fishhook,⿻ (overlaid),⿻乜丨,"<span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RTK3v2::CH01 primitive
乱,chaos / riot,,,72,luàn,tongue + fishhook,⿰ (left-right),⿰舌乚,"<span style=""color:#1a5276"">舌</span> <span style=""color:#666"">tongue</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",TH: 亂,RSH RTK,RTK1v5::L05
乳,breast / milk,,,729,rǔ,fledglings + fishhook,⿰ (left-right),⿰孚乚,"<span style=""color:#1a5276"">孚</span> <span style=""color:#666"">fledglings</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RTK1v5::L23
乾,dry / drought,,,463,qián / gān,mist + beg,⿰ (left-right),⿰𠦝乞,"<span style=""color:#1a5276"">𠦝</span> <span style=""color:#666"">mist</span><br><span style=""color:#1a5276"">乞</span> <span style=""color:#666"">beg</span>",SH: 干,RTH RTK,RTK1v5::L18 primitive
亀,tortoise,,,534,,dagger + prosperous + hook,⿱ (top-bottom),⿱⺈{93},"<span style=""color:#1a5276"">⺈</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span><br><span style=""color:#1a5276"">昌</span> <span style=""color:#666"">prosperous</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",TH: 龜 | SH: 龟,RTK,RTK1v5::L21
了,(-ed) / complete,,,97,le / liǎo,child,⿱ (top-bottom),⿱乛亅,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH RTK,RTK1v5::L06
予,bestow / beforehand,,,1593,yú / yǔ,spear,⿱ (top-bottom),⿱龴𠄐,"<span style=""color:#1a5276"">矛</span> <span style=""color:#666"">spear</span>",,RSH RTH RTK,RTK1v5::L41 primitive
争,contend,,,1154,zhēng,bound up + rake,⿱ (top-bottom),⿱⺈⿻{43}亅,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">肀</span> <span style=""color:#666"">rake</span>",TH: 爭,RSH RTK,RTK1v5::L31
事,matter,,,1156,shì,one + mouth + rake,⿻ (overlaid),⿻⿱𠮛{43}亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">肀</span> <span style=""color:#666"">rake</span>",,RSH RTH RTK,RTK1v5::L31
二,two,,,2,èr,one,⿱ (top-bottom),⿱一一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH RTK,RTK1v5::L01
云,utter / quote / cloud,,,2102,yún / Yún,two + elbow,⿱ (top-bottom),⿱二厶,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",,RSH RTH RTK,RTK3v2::CH01 primitive
互,mutual / mutually,,,757,hù,wall,⿱ (top-bottom),⿱一彑,"<span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",,RSH RTH RTK,RTK1v5::L23
五,five,,,5,wǔ,floor + ㇯,⿱ (top-bottom),⿱一𫝀,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RTK1v5::L01
井,well,,,1806,jǐng / Jǐng,two + drop + walking stick,⿻ (overlaid),⿻二⿰丿丨,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTK1v5::L48
亘,span,,,32,,floor + daybreak,⿱ (top-bottom),⿱一旦,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">旦</span> <span style=""color:#666"">daybreak</span>",TH: 亙,RTK,RTK1v5::L02
亙,span [old],,,2985,,floor + {122} + eyedropper,⿱ (top-bottom),⿱一⿴{122}丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",SH: 亘,RTK,RTK3v2::CH06
些,somewhat / whit,,,2046,xiē,this (literary) + two,⿱ (top-bottom),⿱此二,"<span style=""color:#1a5276"">此</span> <span style=""color:#666"">this (literary)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,RSH RTH RTK,RTK3v2::CH01
亜,Asia,,,1809,,floor + mouth + walking stick + walking stick + floor,⿳ (top-mid-bottom),⿳一⿻口⿰丨丨一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",TH: 亞 | SH: 亚,RTK,RTK1v5::L48
亡,deceased,,,485,wáng,top hat + hook,⿱ (top-bottom),⿱亠𠃊,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,RSH RTH RTK,RTK1v5::L19 primitive
交,mingle,,,1275,jiāo,top hat + father,⿱ (top-bottom),⿱亠父,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">父</span> <span style=""color:#666"">father</span>",,RSH RTH RTK,RTK1v5::L34
亥,sign of the hog,,,1519,hài,top hat + elbow + person,⿱ (top-bottom),⿱丶𠀔,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTK1v5::L39 primitive
亨,go smoothly,,,3001,hēng,tall + -ed,⿳ (top-mid-bottom),⿳亠口了,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">了</span> <span style=""color:#666"">-ed</span>",,RSH RTH RTK,RTK3v2::CH14
享,enjoy / receive,,,308,xiǎng,child + tall,⿳ (top-mid-bottom),⿳亠口子,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span>",,RSH RTH RTK,RTK1v5::L14
京,capital,,,312,Jīng / jīng,tall + small,⿱ (top-bottom),⿱亠𱒃,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,RSH RTH RTK,RTK1v5::L14 primitive
亭,pavilion,,,311,tíng,spike + tiara,⿱ (top-bottom),⿱{87}丁,"<span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: spike)</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span>",,RSH RTH RTK,RTK1v5::L14
亮,shiny / translucent,,,2920,liàng,tiara + wind,⿱ (top-bottom),⿱{87}几,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: wind)</span>",,RSH RTH RTK,RTK3v2::CH03
人,person,,,951,rén,,,人,,,RSH RTH RTK,RTK1v5::L27 primitive
什,what? / X,,,2968,shí / shén,person + needle,⿰ (left-right),⿰亻十,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTK3v2::CH06
仁,benevolence / humanity,,,988,rén,two + person,⿰ (left-right),⿰亻二,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RTK1v5::L27
仄,insinuate,,,2153,,cliff + person,⿸ (top-left-wrap),⿸厂人,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RTK,RTK3v2::CH02
仇,animosity / foe,,,2114,chóu / qiú,person + baseball,⿰ (left-right),⿰亻九,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RTK3v2::CH02
今,now,,,1587,jīn,meeting,⿱ (top-bottom),⿱⿵𠆢丶乛,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span>",,RSH RTH RTK,RTK1v5::L41 primitive
介,introduce / jammed in,,,250,jiè,umbrella + crutches,⿱ (top-bottom),⿱𠆢⿰丿丨,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">囧介－𠆢</span> <span style=""color:#666"">crutches</span>",,RSH RTH RTK,RTK1v5::L12
仏,Buddha,,,964,,person + elbow,⿰ (left-right),⿰亻厶,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",TH: 佛 | SH: 佛,RTK,RTK1v5::L27
仔,meticulous / animal offspring,,,2113,zǎi / zī / zǐ,person + child,⿰ (left-right),⿰亻子,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH RTK,RTK3v2::CH02
仕,attend,,,960,,person + soldier,⿰ (left-right),⿰亻士,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">士</span> <span style=""color:#666"">soldier</span>",,RTK,RTK1v5::L27
他,he / other,,,961,tā,person + scorpion,⿰ (left-right),⿰亻也,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">也</span> <span style=""color:#666"">also</span> <span style=""color:#999"">(alias: scorpion)</span>",,RSH RTH RTK,RTK1v5::L27
付,pay / adhere,,,1000,fù,person + glue,⿰ (left-right),⿰亻寸,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,RSH RTH RTK,RTK1v5::L27
仙,immortal / hermit,,,986,xiān,person + mountain,⿰ (left-right),⿰亻山,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RTK1v5::L27
代,substitute for,,,1005,dài,person + arrow,⿰ (left-right),⿰亻弋,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">弋</span> <span style=""color:#666"">arrow</span>",,RSH RTH RTK,RTK1v5::L27
令,orders,,,1401,Líng / líng / lǐng / lìng,meeting + chop,⿱ (top-bottom),⿱⿵𠆢丶龴,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",,RSH RTH RTK,RTK1v5::L37
以,by means of,,,1028,Yǐ / yǐ,person + plow + a drop of,,⿽人⿰𠄌丶,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">囧以－丶人</span> <span style=""color:#666"">plow</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK1v5::L28
仮,provisional,,,966,,person + against,⿰ (left-right),⿰亻反,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">反</span> <span style=""color:#666"">against</span>",TH: 假 | SH: 假,RTK,RTK1v5::L27
仰,look up to / faceup,,,1701,yǎng,person + stamp collection,⿰ (left-right),⿰亻卬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">卬</span> <span style=""color:#666"">stamp collection</span>",,RSH RTH RTK,RTK1v5::L44
仲,mid- / go-between,,,956,zhòng,person + middle,⿰ (left-right),⿰亻中,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">中</span> <span style=""color:#666"">middle</span>",,RSH RTH RTK,RTK1v5::L27
件,piece / affair,,,959,jiàn,person + cow,⿰ (left-right),⿰亻牛,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">牛</span> <span style=""color:#666"">cow</span>",,RSH RTH RTK,RTK1v5::L27
任,appoint / responsibility,,,1003,rèn,person + porter,⿰ (left-right),⿰亻壬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">壬</span> <span style=""color:#666"">porter</span>",,RSH RTH RTK,RTK1v5::L27
企,look forward to / undertake,,,375,qǐ,stop + umbrella,⿱ (top-bottom),⿱𠆢止,"<span style=""color:#1a5276"">止</span> <span style=""color:#666"">stop</span> <span style=""color:#999"">(alias: footprint, trail of footprints)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",,RSH RTH RTK,RTK1v5::L17
伊,Queen Elizabeth / Italy,,,1161,Yī / yī,person + overseer,⿰ (left-right),⿰亻尹,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">尹</span> <span style=""color:#666"">overseer</span>",,RSH RTH RTK,RTK1v5::L31
伍,V,,,2967,wǔ,person + five,⿰ (left-right),⿰亻五,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">五</span> <span style=""color:#666"">five</span>",,RSH RTH RTK,RTK3v2::CH06
伎,performing artist,,,2122,,person + branch,⿰ (left-right),⿰亻支,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">支</span> <span style=""color:#666"">offshoot</span> <span style=""color:#999"">(alias: branch)</span>",,RTK,RTK3v2::CH02
伏,bend over / prostrated,,,962,fú,person + chihuahua,⿰ (left-right),⿰亻犬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span>",,RSH RTH RTK,RTK1v5::L27
伐,fell,,,994,fá,person + fiesta,⿰ (left-right),⿰亻戈,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span> <span style=""color:#999"">(alias: fiesta)</span>",,RSH RTH RTK,RTK1v5::L27
休,rest,,,965,xiū,person + tree,⿰ (left-right),⿰亻木,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",,RSH RTH RTK,RTK1v5::L27
会,meeting,,,752,huì / kuài,meeting + wall,⿱ (top-bottom),⿱{88}𠫔,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span><br><span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",TH: 會,RSH RTK,RTK1v5::L23
伝,transmit,,,963,,person + rising cloud,⿰ (left-right),⿰亻云,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span>",TH: 傳 | SH: 传,RTK,RTK1v5::L27
伯,father's older brother / chief,,,967,bó / bà / bǎi,person + dove,⿰ (left-right),⿰亻白,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: dove)</span>",,RSH RTH RTK,RTK1v5::L27
伴,partner / consort,,,1203,bàn,person + half,⿰ (left-right),⿰亻半,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">半</span> <span style=""color:#666"">half</span>",,RSH RTH RTK,RTK1v5::L32
伶,actor / minstrel,,,2112,líng,person + orders,⿰ (left-right),⿰亻令,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">令</span> <span style=""color:#666"">orders</span>",,RSH RTH RTK,RTK3v2::CH02
伸,extend / expand,,,1118,shēn,person + monkey,⿰ (left-right),⿰亻申,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">申</span> <span style=""color:#666"">express</span> <span style=""color:#999"">(alias: monkey)</span>",,RSH RTH RTK,RTK1v5::L30
