character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
匹,match / equal,,,1695,pǐ / pī,box + human legs,⿷ (surround-open-right),⿷匚儿,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,RTH RTK,RTK1v5::L44
区,region / ward,,,1696,qū,box + sheaf,⿷ (surround-open-right),⿷匚㐅,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span>",TH: 區,RSH RTK,RTK1v5::L44
医,physician / doctor,,,1694,yī,box + dart,⿷ (surround-open-right),⿷匚矢,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">矢</span> <span style=""color:#666"">dart</span>",TH: 醫,RSH RTK,RTK1v5::L44
匿,keep out of sight / hide,,,1692,nì,box + Disneyland,⿷ (surround-open-right),⿷匚若,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">囧若</span> <span style=""color:#666"">Disneyland</span>",,RSH RTH RTK,RTK1v5::L44
十,ten,,,10,shí,floor + walking stick,⿻ (overlaid),⿻一丨,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTK1v5::L01 primitive
千,thousand,,,40,qiān,eyedropper + ten,⿱ (top-bottom),⿱㇒十,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTK1v5::L03
升,liter / measuring box,,,42,shēng,thousand + needle,⿱ (top-bottom),⿱㇒廾,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTK1v5::L03
午,noon,,,568,wǔ,lying (down) + ten,⿱ (top-bottom),⿱𠂉十,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTK1v5::L21 primitive
半,half,,,1202,bàn,animal horns + two + walking stick,⿻ (overlaid),⿻丷𰀁,"<span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RTK1v5::L32
卑,lowly,,,1511,bēi,a drop of + brains + needle,⿱ (top-bottom),⿱⿱㇒⿻日丿十,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RTK1v5::L39
卒,foot soldier / graduate,,,1025,,assembly line + top hat + needle,⿱ (top-bottom),⿱𠅃十,"<span style=""color:#1a5276"">从</span> <span style=""color:#666"">follow</span> <span style=""color:#999"">(alias: assembly line)</span><br><span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RTK,RTK1v5::L27 primitive
卓,eminent,,,51,zhuó,magic wand + sunflower,⿱ (top-bottom),⿱⺊早,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">早</span> <span style=""color:#666"">early</span> <span style=""color:#999"">(alias: sunflower)</span>",,RSH RTH RTK,RTK1v5::L03
協,cooperate / co-,,,872,xié,ten + muscle + muscle + muscle,⿰ (left-right),⿰十劦,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span> <span style=""color:#999"">(alias: muscle)</span>",SH: 协,RTH RTK,RTK1v5::L25
